id,age,marital,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,job,education
13498,25,married,no,0,yes,no,cellular,9,jul,160,1,-1,0,unknown,no,student,tertiary
13975,27,single,no,106,yes,no,telephone,10,jul,127,1,-1,0,unknown,no,student,secondary
13994,31,married,no,46,yes,no,cellular,10,jul,487,1,-1,0,unknown,yes,student,primary
14006,25,single,no,-113,no,no,cellular,10,jul,300,3,-1,0,unknown,no,student,tertiary
14633,28,married,no,1,no,no,cellular,15,jul,92,4,-1,0,unknown,no,student,tertiary
14654,33,single,no,71,no,no,cellular,15,jul,94,4,-1,0,unknown,no,student,tertiary
14727,29,single,no,5,no,no,cellular,15,jul,889,5,-1,0,unknown,yes,student,tertiary
14743,47,single,no,107,no,no,telephone,15,jul,119,8,-1,0,unknown,no,student,secondary
14959,27,married,no,119,yes,no,cellular,16,jul,781,2,-1,0,unknown,yes,student,secondary
14961,28,single,no,61,yes,no,cellular,16,jul,401,8,-1,0,unknown,no,student,tertiary
15090,25,single,no,963,yes,no,cellular,17,jul,28,1,-1,0,unknown,no,student,secondary
15224,26,single,yes,47,no,yes,cellular,17,jul,257,2,-1,0,unknown,no,student,tertiary
15253,27,single,no,24,yes,no,cellular,17,jul,320,2,-1,0,unknown,no,student,secondary
15332,31,single,no,117,yes,no,telephone,18,jul,41,1,-1,0,unknown,no,student,tertiary
15682,35,single,no,-86,yes,no,cellular,21,jul,369,1,-1,0,unknown,no,student,secondary
15783,33,married,no,0,no,no,cellular,21,jul,100,1,-1,0,unknown,no,student,secondary
15795,25,married,no,10,yes,no,cellular,21,jul,857,4,-1,0,unknown,yes,student,tertiary
16003,29,single,no,652,yes,no,cellular,22,jul,285,1,-1,0,unknown,no,student,tertiary
16085,26,single,no,141,no,no,cellular,22,jul,128,1,-1,0,unknown,no,student,secondary
16349,28,single,no,270,no,no,cellular,23,jul,172,1,-1,0,unknown,no,student,tertiary
16471,28,single,no,153,no,no,cellular,23,jul,1124,2,-1,0,unknown,yes,student,secondary
16473,29,single,no,181,yes,no,cellular,23,jul,180,1,-1,0,unknown,no,student,secondary
16725,25,single,no,1747,yes,no,cellular,24,jul,903,1,-1,0,unknown,yes,student,secondary
16938,27,single,no,1,no,no,cellular,25,jul,73,1,-1,0,unknown,no,student,tertiary
17196,25,single,no,-380,no,no,cellular,28,jul,108,4,-1,0,unknown,no,student,tertiary
17359,30,single,no,146,no,no,cellular,28,jul,310,2,-1,0,unknown,no,student,tertiary
18099,37,divorced,no,0,no,no,telephone,30,jul,100,6,-1,0,unknown,no,student,tertiary
18804,42,married,no,-7,no,no,telephone,31,jul,41,6,-1,0,unknown,no,student,secondary
18807,34,single,no,188,yes,no,cellular,31,jul,12,5,-1,0,unknown,no,student,secondary
19407,33,divorced,no,422,no,no,cellular,6,aug,406,3,-1,0,unknown,no,student,secondary
19473,34,single,no,873,yes,no,cellular,7,aug,267,2,-1,0,unknown,no,student,tertiary
20137,30,single,no,7513,no,no,cellular,11,aug,269,2,-1,0,unknown,no,student,tertiary
22049,31,single,no,744,no,no,cellular,20,aug,124,3,-1,0,unknown,no,student,tertiary
22925,34,single,no,1322,no,no,cellular,26,aug,170,3,-1,0,unknown,no,student,tertiary
23308,38,married,no,134,no,no,cellular,27,aug,91,8,-1,0,unknown,no,student,secondary
23572,38,married,no,140,no,no,cellular,28,aug,12,21,-1,0,unknown,no,student,secondary
24055,48,single,no,1279,no,no,telephone,20,oct,2429,1,-1,0,unknown,no,student,secondary
24072,28,single,no,2351,no,no,telephone,22,oct,157,1,-1,0,unknown,yes,student,secondary
24177,27,single,no,67,no,no,telephone,14,nov,239,1,-1,0,unknown,yes,student,secondary
24333,34,single,no,5827,no,no,cellular,17,nov,97,2,-1,0,unknown,no,student,secondary
25232,33,single,no,4,yes,no,cellular,18,nov,203,2,-1,0,unknown,no,student,tertiary
25677,40,married,no,260,no,no,cellular,19,nov,52,1,152,6,failure,no,student,secondary
25713,30,single,no,0,yes,no,cellular,19,nov,661,1,-1,0,unknown,no,student,secondary
25998,31,single,no,2144,yes,no,cellular,19,nov,282,2,-1,0,unknown,no,student,secondary
26026,31,single,no,93,no,no,cellular,19,nov,584,2,-1,0,unknown,no,student,secondary
26179,30,single,no,809,no,no,cellular,20,nov,26,5,171,2,failure,no,student,secondary
26309,33,married,no,3214,no,no,cellular,20,nov,60,1,-1,0,unknown,no,student,tertiary
26460,33,single,no,2904,no,no,cellular,20,nov,42,1,-1,0,unknown,no,student,tertiary
26556,31,single,no,307,no,no,cellular,20,nov,597,2,-1,0,unknown,no,student,tertiary
26607,33,single,no,3404,yes,no,cellular,20,nov,105,2,171,3,failure,no,student,tertiary
27056,32,single,no,0,no,no,cellular,21,nov,206,1,-1,0,unknown,no,student,secondary
27289,34,married,no,3037,yes,no,telephone,21,nov,65,1,-1,0,unknown,no,student,tertiary
27299,35,divorced,no,100,no,no,cellular,21,nov,50,1,-1,0,unknown,no,student,tertiary
27355,30,single,no,2766,no,no,cellular,21,nov,834,1,-1,0,unknown,yes,student,tertiary
27379,30,single,no,3300,no,no,cellular,21,nov,1571,1,-1,0,unknown,yes,student,tertiary
27502,41,single,no,1934,yes,no,cellular,21,nov,162,2,-1,0,unknown,no,student,secondary
27715,28,single,no,290,yes,no,telephone,27,nov,24,1,-1,0,unknown,no,student,tertiary
27762,32,married,no,0,no,no,cellular,28,jan,558,1,-1,0,unknown,no,student,secondary
27769,30,single,no,699,no,no,cellular,28,jan,396,1,-1,0,unknown,no,student,tertiary
27799,28,single,no,1096,no,no,cellular,28,jan,81,2,-1,0,unknown,no,student,tertiary
27809,28,single,no,101,no,no,cellular,28,jan,90,1,-1,0,unknown,no,student,secondary
27925,27,single,no,3,no,no,cellular,28,jan,131,1,-1,0,unknown,no,student,secondary
27969,32,married,no,1694,yes,no,cellular,28,jan,929,1,-1,0,unknown,no,student,secondary
28043,27,single,no,1013,no,no,cellular,28,jan,965,3,-1,0,unknown,no,student,tertiary
28044,27,single,no,760,no,no,cellular,28,jan,177,2,-1,0,unknown,no,student,secondary
28047,26,single,no,2020,no,no,telephone,28,jan,42,3,-1,0,unknown,no,student,secondary
28052,28,single,no,78,no,no,cellular,28,jan,554,2,-1,0,unknown,no,student,secondary
28068,27,single,no,585,no,no,cellular,28,jan,180,3,-1,0,unknown,no,student,secondary
28119,35,single,no,0,no,no,telephone,28,jan,122,3,-1,0,unknown,no,student,secondary
28124,27,single,no,0,no,yes,telephone,29,jan,125,1,-1,0,unknown,no,student,secondary
28129,26,married,no,289,no,no,cellular,29,jan,220,1,-1,0,unknown,no,student,secondary
28130,26,single,no,782,no,no,cellular,29,jan,297,1,-1,0,unknown,no,student,secondary
28165,30,single,no,336,no,no,cellular,29,jan,67,1,-1,0,unknown,no,student,secondary
28190,27,single,no,980,no,no,cellular,29,jan,503,1,-1,0,unknown,no,student,secondary
28304,28,single,no,28,no,no,cellular,29,jan,220,2,-1,0,unknown,no,student,secondary
28345,28,single,no,682,yes,no,cellular,29,jan,356,1,255,2,other,no,student,tertiary
28388,27,single,no,10536,no,no,cellular,29,jan,136,1,-1,0,unknown,no,student,secondary
28472,26,single,no,826,no,no,cellular,29,jan,177,1,-1,0,unknown,no,student,secondary
28482,26,single,no,1346,no,no,cellular,29,jan,383,2,-1,0,unknown,no,student,secondary
28526,27,single,no,6424,no,no,cellular,29,jan,129,2,-1,0,unknown,no,student,secondary
28537,28,single,no,24,yes,no,cellular,29,jan,284,2,196,2,failure,no,student,secondary
28554,26,single,no,352,no,no,cellular,29,jan,202,2,-1,0,unknown,no,student,secondary
28723,28,single,no,69,no,no,cellular,30,jan,532,2,-1,0,unknown,yes,student,secondary
28732,27,single,no,1566,no,no,cellular,30,jan,164,5,-1,0,unknown,no,student,secondary
28954,22,single,no,2162,no,no,telephone,2,feb,168,1,-1,0,unknown,no,student,secondary
28959,22,single,no,148,no,no,cellular,2,feb,928,1,-1,0,unknown,no,student,secondary
29025,39,single,no,2103,no,no,cellular,2,feb,588,1,-1,0,unknown,yes,student,tertiary
29057,28,single,no,330,no,no,telephone,2,feb,197,1,-1,0,unknown,no,student,secondary
29110,27,single,no,1411,no,no,cellular,2,feb,92,1,-1,0,unknown,no,student,secondary
29121,26,single,no,376,no,no,telephone,2,feb,237,2,-1,0,unknown,no,student,tertiary
29206,27,single,no,1625,no,no,cellular,2,feb,180,5,-1,0,unknown,no,student,secondary
29218,26,single,no,2469,no,no,cellular,2,feb,406,1,-1,0,unknown,no,student,secondary
29227,28,single,no,689,no,no,cellular,2,feb,36,1,-1,0,unknown,no,student,secondary
29234,26,single,no,5569,no,no,cellular,2,feb,236,1,-1,0,unknown,no,student,secondary
29331,21,single,no,948,no,no,telephone,2,feb,77,2,-1,0,unknown,no,student,secondary
29335,26,single,no,0,no,no,cellular,2,feb,1223,2,-1,0,unknown,yes,student,secondary
29359,27,single,no,24,yes,no,cellular,2,feb,344,2,-1,0,unknown,no,student,tertiary
29362,29,single,no,1679,no,no,cellular,2,feb,485,2,-1,0,unknown,no,student,tertiary
29371,27,single,no,1444,no,no,cellular,2,feb,248,2,-1,0,unknown,no,student,secondary
29484,29,single,no,246,no,no,cellular,3,feb,269,1,-1,0,unknown,no,student,tertiary
29505,31,single,no,640,no,no,cellular,3,feb,92,1,-1,0,unknown,no,student,secondary
29518,27,single,no,32,no,no,cellular,3,feb,239,1,-1,0,unknown,no,student,tertiary
29575,33,single,no,1883,yes,no,cellular,3,feb,121,5,256,1,failure,no,student,secondary
29586,29,single,no,559,no,no,cellular,3,feb,143,2,-1,0,unknown,no,student,tertiary
29619,28,single,no,3026,no,no,cellular,3,feb,124,1,-1,0,unknown,no,student,tertiary
29652,26,single,no,119,no,no,cellular,3,feb,247,3,-1,0,unknown,no,student,secondary
29740,30,single,no,96,no,no,cellular,4,feb,291,1,-1,0,unknown,no,student,secondary
29766,35,single,no,7,yes,no,telephone,4,feb,72,2,247,1,other,no,student,tertiary
29852,36,single,no,449,no,no,cellular,4,feb,166,2,-1,0,unknown,no,student,secondary
29891,26,single,no,334,no,no,telephone,4,feb,46,1,-1,0,unknown,no,student,secondary
30047,33,single,no,706,yes,no,cellular,4,feb,291,2,-1,0,unknown,no,student,secondary
30103,27,single,no,468,no,no,cellular,4,feb,270,2,-1,0,unknown,no,student,secondary
30118,26,single,no,1510,no,no,telephone,4,feb,58,3,-1,0,unknown,no,student,secondary
30156,28,single,no,0,no,no,cellular,5,feb,15,8,-1,0,unknown,no,student,secondary
30160,36,single,no,904,no,no,telephone,5,feb,36,9,8,13,other,no,student,secondary
30200,31,single,no,334,yes,no,cellular,5,feb,195,4,233,2,other,no,student,secondary
30219,31,single,no,430,no,no,cellular,5,feb,129,4,-1,0,unknown,no,student,secondary
30306,26,single,no,198,no,no,cellular,5,feb,161,1,-1,0,unknown,no,student,secondary
30371,30,single,no,61,no,yes,cellular,5,feb,133,5,8,2,other,no,student,secondary
30375,37,single,no,681,no,no,cellular,5,feb,187,1,8,1,other,no,student,secondary
30471,36,single,no,624,no,no,cellular,5,feb,518,2,8,1,other,no,student,secondary
30473,31,single,no,643,no,no,cellular,5,feb,82,4,-1,0,unknown,no,student,secondary
30483,31,single,no,2010,yes,no,cellular,5,feb,15,5,261,1,other,no,student,tertiary
30502,25,single,no,2354,no,no,cellular,5,feb,226,7,-1,0,unknown,yes,student,secondary
30515,27,single,no,2183,no,no,cellular,5,feb,219,3,-1,0,unknown,no,student,secondary
30602,32,single,no,5969,no,no,cellular,6,feb,12,7,-1,0,unknown,no,student,secondary
30633,28,single,no,29,no,yes,cellular,6,feb,402,1,-1,0,unknown,no,student,secondary
30658,33,single,no,882,yes,no,cellular,6,feb,311,1,-1,0,unknown,no,student,tertiary
30683,27,single,no,524,no,no,cellular,6,feb,496,2,-1,0,unknown,no,student,tertiary
30698,30,single,no,0,no,no,cellular,6,feb,10,5,-1,0,unknown,no,student,tertiary
30702,30,single,no,300,no,no,cellular,6,feb,38,1,-1,0,unknown,no,student,tertiary
30791,32,single,no,4110,no,no,cellular,6,feb,119,8,-1,0,unknown,no,student,secondary
30792,19,single,no,1169,no,no,cellular,6,feb,463,18,-1,0,unknown,no,student,secondary
30804,22,single,no,0,no,no,cellular,6,feb,229,6,-1,0,unknown,yes,student,secondary
30920,26,single,no,477,no,no,cellular,9,feb,58,2,-1,0,unknown,no,student,secondary
31028,32,single,no,1138,no,no,telephone,10,feb,402,3,-1,0,unknown,yes,student,tertiary
31042,19,single,no,0,no,no,cellular,11,feb,123,3,-1,0,unknown,no,student,secondary
31048,22,single,no,381,no,no,cellular,12,feb,227,1,-1,0,unknown,yes,student,secondary
31049,20,single,no,1191,no,no,cellular,12,feb,274,1,-1,0,unknown,no,student,secondary
31074,27,single,no,3733,yes,no,telephone,13,feb,299,6,-1,0,unknown,yes,student,tertiary
31079,35,single,no,188,yes,no,cellular,16,feb,75,3,200,5,failure,yes,student,secondary
31101,26,single,no,620,no,no,cellular,17,feb,104,1,-1,0,unknown,yes,student,secondary
31125,24,single,no,23878,no,no,cellular,18,feb,185,1,-1,0,unknown,yes,student,secondary
31137,28,single,no,0,no,no,cellular,18,feb,209,20,-1,0,unknown,yes,student,secondary
31142,21,single,no,164,no,no,cellular,19,feb,78,5,-1,0,unknown,no,student,secondary
31144,25,married,no,4923,yes,yes,cellular,19,feb,266,2,219,12,other,no,student,tertiary
31156,25,single,no,2503,no,no,cellular,26,feb,100,2,-1,0,unknown,no,student,secondary
31157,29,single,no,48,no,no,cellular,26,feb,51,1,-1,0,unknown,no,student,secondary
31168,38,single,no,807,no,no,cellular,27,feb,74,2,-1,0,unknown,no,student,tertiary
31217,25,single,no,1116,yes,no,cellular,2,mar,170,3,-1,0,unknown,no,student,secondary
31232,27,single,no,1177,no,no,cellular,3,mar,133,1,-1,0,unknown,no,student,secondary
31246,23,single,no,486,no,no,cellular,3,mar,87,1,-1,0,unknown,no,student,secondary
31254,27,single,no,0,no,no,cellular,5,mar,82,3,-1,0,unknown,yes,student,tertiary
31264,19,single,no,27,no,no,telephone,5,mar,86,12,-1,0,unknown,no,student,secondary
31275,30,single,no,988,no,no,cellular,5,mar,167,9,-1,0,unknown,no,student,secondary
31276,30,single,no,2539,no,no,telephone,5,mar,199,5,-1,0,unknown,yes,student,tertiary
31280,26,single,no,598,no,no,cellular,6,mar,136,1,-1,0,unknown,no,student,secondary
31305,19,single,no,1803,no,no,cellular,10,mar,59,1,-1,0,unknown,no,student,secondary
31307,28,single,no,111,no,no,cellular,10,mar,70,2,-1,0,unknown,no,student,tertiary
31308,30,single,no,685,no,no,telephone,10,mar,230,2,-1,0,unknown,no,student,secondary
31345,30,single,no,7387,no,no,cellular,16,mar,93,1,-1,0,unknown,no,student,secondary
31348,28,single,no,459,no,no,cellular,16,mar,83,13,-1,0,unknown,no,student,secondary
31354,22,single,no,2139,no,no,cellular,17,mar,133,8,-1,0,unknown,no,student,secondary
31363,27,single,no,672,no,no,cellular,18,mar,236,2,-1,0,unknown,no,student,secondary
31376,28,single,no,5916,no,no,cellular,20,mar,93,5,-1,0,unknown,no,student,secondary
31399,23,single,no,4126,no,no,cellular,25,mar,96,2,-1,0,unknown,yes,student,secondary
31401,24,single,no,1250,no,no,cellular,25,mar,411,2,-1,0,unknown,yes,student,secondary
31426,27,single,no,213,no,no,cellular,27,mar,378,1,-1,0,unknown,yes,student,secondary
31433,19,single,no,134,no,no,cellular,27,mar,271,2,-1,0,unknown,yes,student,primary
31445,32,single,no,2321,no,no,cellular,30,mar,167,2,-1,0,unknown,no,student,secondary
31493,19,single,no,779,no,no,cellular,1,apr,184,4,-1,0,unknown,yes,student,secondary
31511,22,single,no,722,yes,no,cellular,2,apr,108,1,-1,0,unknown,no,student,secondary
31516,23,single,no,165,yes,no,cellular,2,apr,148,1,-1,0,unknown,no,student,secondary
31538,28,single,no,1350,yes,no,cellular,2,apr,173,2,-1,0,unknown,no,student,secondary
31543,24,single,no,1283,no,no,cellular,2,apr,225,2,-1,0,unknown,no,student,primary
31547,26,single,no,193,no,no,cellular,3,apr,48,2,-1,0,unknown,no,student,tertiary
31623,24,single,no,1684,no,no,cellular,6,apr,112,4,-1,0,unknown,no,student,secondary
31629,26,single,no,1804,no,no,cellular,6,apr,156,2,-1,0,unknown,no,student,tertiary
31738,20,single,no,8860,no,no,cellular,7,apr,98,2,-1,0,unknown,no,student,secondary
31740,31,single,no,735,no,no,cellular,7,apr,88,3,322,1,other,no,student,secondary
31777,27,single,no,3687,no,no,cellular,8,apr,335,2,-1,0,unknown,no,student,tertiary
31787,34,single,no,3404,yes,no,cellular,8,apr,420,1,139,5,failure,no,student,tertiary
31795,28,single,no,11555,no,no,cellular,8,apr,125,2,-1,0,unknown,no,student,secondary
31832,21,single,no,423,no,no,cellular,8,apr,104,5,-1,0,unknown,yes,student,primary
